Age_range,Industry,Job _title,Annual_salary,Additional_monetary_compensation,Annual_salary_USD,Additional_m_c_USD,Currency,Country,State,City,y_o_p_e_Overall,yo_p_e_in_Field,Highest_level_of_education,Gender
35-44,Computing or Tech,principle product marketing manager,126000,15000,126000,15000,USD,USA,Texas,Dallas,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Engineering or Manufacturing,Sr. Environmental Manager,125000,3500,125000,3500,USD,USA,Pennsylvania,Pittsburgh,21 - 30 years,21 - 30 years,College degree,Man
35-44,Nonprofits,Early Intervention developmental specialist,36000,1000,36000,1000,USD,USA,Massachusetts,South Hadley,11 - 20 years,2 - 4 years,Master's degree,Man
25-34,Nonprofits,Grants coordinator,55000,0,55000,0,USD,USA,New York,New York ,8 - 10 years,2 - 4 years,Master's degree,Woman
25-34,"Marketing, Advertising & PR",Account Executive,53500,0,53500,0,USD,USA,Illinois,Chicago,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Nonprofits,Associate Director of Annual Giving,50000,0,50000,0,USD,USA,Georgia,Atlanta,8 - 10 years,5-7 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Cash Logistics Manager,57750,5750,57750,5750,USD,USA,Texas,Houston,11 - 20 years,2 - 4 years,Master's degree,Woman
25-34,Nonprofits,Legislative Analyst,65000,0,65000,0,USD,USA,California,Sacramento,8 - 10 years,5-7 years,College degree,Woman
25-34,Transport or Logistics,Technology Senior Business Analyst,103000,2000,103000,2000,USD,USA,Texas,Dallas,5-7 years,5-7 years,College degree,Woman
25-34,Nonprofits,Senior Marketing Specialist,65000,2700,65000,2700,USD,USA,Washington,Bellevue,8 - 10 years,5-7 years,College degree,Woman
35-44,Education (Primary/Secondary),High School counselor ,75000,0,75000,0,USD,USA,Georgia,Suwanee ,21 - 30 years,11 - 20 years,Master's degree,Woman
18-24,"Marketing, Advertising & PR",Developer,72500,3000,72500,3000,USD,USA,Illinois,Chicago,5-7 years,1 year or less,College degree,Woman
35-44,Agriculture or Forestry,"Group Leader, Crop Protection Environmental and Human Safety",86000,1500,86000,1500,USD,USA,North Carolina,Raleigh,11 - 20 years,5-7 years,College degree,Woman
25-34,Property or Construction,Energy Specialist,75000,5000,75000,5000,USD,Usa,Missouri,St. Louis,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Social Work,Medical Social Worker,63000,0,63000,0,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Public Library,Children's Librarian,39000,0,39000,0,USD,USA,Ohio,Dayton,11 - 20 years,11 - 20 years,Master's degree,Woman
35-44,Education (Higher Education),Payroll Manager,105000,0,105000,0,USD,USA,Connecticut,Fairfield,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Senior user experience researcher,179000,130000,179000,130000,USD,USA,New York,New York city,11 - 20 years,8 - 10 years,PhD,Woman
35-44,"Marketing, Advertising & PR",Freelance content writer/copy editor,77000,0,77000,0,USD,USA,Connecticut,Manchester,21 - 30 years,5-7 years,College degree,Woman
35-44,Media & Digital,Production Editor ,55000,0,55000,0,USD,USA,New York,New York ,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Computing or Tech,Salesforce Administrator ,64200,3000,64200,3000,USD,USA,Wisconsin,Madison,5-7 years,2 - 4 years,Master's degree,Other or prefer not to answer
25-34,Engineering or Manufacturing,Engineer,92000,2000,92000,2000,USD,USA,Texas,DFW,5-7 years,5-7 years,College degree,Woman
55-64,Government and Public Administration,Assistant General Counsel,170000,3000,170000,3000,USD,USA,District of Columbia,DC,21 - 30 years,21 - 30 years,Master's degree,Woman
25-34,Health care,Pharmacist,125000,500,125000,500,USD,USA,Pennsylvania,Pittsburgh,5-7 years,5-7 years,PhD,Woman
55-64,"Accounting, Banking & Finance","IT Director, Project Management ",186000,0,186000,0,USD,USA,New Jersey,Cherry Hill,31 - 40 years,31 - 40 years,College degree,Man
25-34,"Accounting, Banking & Finance",Staff Accountant,61800,1000,61800,1000,USD,USA,Ohio,Cleveland,8 - 10 years,5-7 years,College degree,Man
25-34,"Accounting, Banking & Finance","SVP, risk management",155000,31000,155000,31000,USD,USA,Massachusetts,Fully Remote (Greater Boston),8 - 10 years,8 - 10 years,College degree,Woman
35-44,Art & Design,Product Coordinator,40000,200,40000,200,USD,USA,Michigan,Grand Rapids,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Education (Higher Education),Statistical Analyst,71750,0,71750,0,USD,USA,Pennsylvania,Philadelphia,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Computing or Tech,Program Manager,157000,0,157000,0,USD,USA,Colorado,Denver,21 - 30 years,21 - 30 years,College degree,Woman
35-44,"""Government Relations"" (Lobbying) ",Assistant ,65000,0,65000,0,USD,USA,New York,New York City ,5-7 years,5-7 years,College degree,Woman
25-34,Nonprofits,Senior research assistant,42120,0,42120,0,USD,USA,New Jersey,East Hanover,2 - 4 years,2 - 4 years,College degree,Woman
25-34,Business or Consulting,Research Associate,65000,5000,65000,5000,USD,USA,District of Columbia,District of Columbia,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Computing or Tech,Junior Project Manager,86000,3000,86000,3000,USD,USA,Colorado,Denver,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Business Analyst,85000,7000,85000,7000,USD,USA,Pennsylvania,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Computing or Tech,Software Development Project Manager,104000,0,104000,0,USD,USA,Louisiana,New Orleans,21 - 30 years,21 - 30 years,Master's degree,Woman
45-54,Computing or Tech,Human Resources Manager,88000,8800,88000,8800,USD,USA,Minnesota,Minneapolis,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Computing or Tech,Programmer Analyst 2,65000,3000,65000,3000,USD,USA,Missouri,Jefferson City,8 - 10 years,8 - 10 years,College degree,Woman
45-54,Computing or Tech,Sr development Manager,175000,175000,175000,175000,USD,USA,Colorado,Denver,21 - 30 years,11 - 20 years,College degree,Man
25-34,Business or Consulting,Consultant,134000,3000,134000,3000,USD,USA,Oregon,Portland,8 - 10 years,5-7 years,Master's degree,Woman
35-44,Hospitality & Events,Controller,98500,10000,98500,10000,USD,USA,Florida,Naples,21 - 30 years,21 - 30 years,College degree,Woman
35-44,Computing or Tech,Software Engineer,112000,0,112000,0,USD,USA,Florida,Melbourne,11 - 20 years,8 - 10 years,College degree,Woman
25-34,Health care,Speech-Language Pathologist,60000,0,60000,0,USD,USA,Ohio,Medina,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,Lead Planner,57000,0,57000,0,USD,USA,Texas,El Paso,5-7 years,2 - 4 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Internal Auditor ,51000,1500,51000,1500,USD,USA,Kentucky,Lexington ,5-7 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Assistant Professor,56000,8000,56000,8000,USD,USA,Wisconsin,Milwaukee,2 - 4 years,5-7 years,PhD,Woman
18-24,Nonprofits,Program Coordinator,39000,0,39000,0,USD,USA,District of Columbia,"Washington, DC",2 - 4 years,2 - 4 years,College degree,Woman
25-34,"Accounting, Banking & Finance",Billing & Accounts Receivable Coordinator ,40000,2000,40000,2000,USD,USA,Ohio,Canton,8 - 10 years,2 - 4 years,College degree,Woman
45-54,Software as a Service SaaS,"Director, Learning Content & Training",68000,1000,68000,1000,USD,USA,District of Columbia,Washington,11 - 20 years,8 - 10 years,College degree,Woman
35-44,"Accounting, Banking & Finance",Branch Manager,65000,3000,65000,3000,USD,USA,Texas,Richardson,11 - 20 years,11 - 20 years,Some college,Woman
25-34,Public health in higher education,Program Manager,67000,9000,67000,9000,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Government and Public Administration,program analyst,126000,1000,126000,1000,USD,USA,District of Columbia,DC,8 - 10 years,8 - 10 years,College degree,Woman
25-34,Business or Consulting,Planning analyst,75000,30000,75000,30000,USD,USA,Florida,Panhandle region,5-7 years,5-7 years,Master's degree,Woman
45-54,Health care,Clinical Pharmacist ,146000,0,146000,0,USD,USA,Massachusetts,Boston ,11 - 20 years,11 - 20 years,PhD,Woman
25-34,Engineering or Manufacturing,Senior Engineer,100000,2500,100000,2500,USD,USA,Colorado,Golden,8 - 10 years,8 - 10 years,PhD,Woman
35-44,Property or Construction,Project Manager,52000,6000,52000,6000,USD,USA,South Carolina,Charleston,11 - 20 years,5-7 years,High School,Woman
25-34,"Accounting, Banking & Finance",Senior Associate,135000,5000,135000,5000,USD,USA,District of Columbia,"Washington, DC",8 - 10 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Technical Project Manager,131000,14000,131000,14000,USD,USA,California,Bay Area,8 - 10 years,5-7 years,College degree,Woman
45-54,Media & Digital,Special Projects Manager,64000,2000,64000,2000,USD,USA,New York,New York ,21 - 30 years,5-7 years,Master's degree,Woman
18-24,Law Enforcement & Security,Library Assistant,49000,1000,49000,1000,USD,USA,Massachusetts,Boston,2 - 4 years,2 - 4 years,College degree,Woman
35-44,Manufacturing and distributing,Customer Support Representative ,38800,0,38800,0,USD,USA,Texas,Houston,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Nonprofits,Financial Administrator,50000,0,50000,0,USD,USA,Colorado,Denver,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Retail,Customer Experience Manager ,31500,0,31500,0,USD,Usa,California,Redding,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Sales,Technical Sales Manager,80000,8000,80000,8000,USD,USA,New Hampshire,Portsmouth,11 - 20 years,5-7 years,College degree,Woman
45-54,Law,Equity Partner,600000,0,600000,0,USD,USA,Pennsylvania,Philadelphia,21 - 30 years,21 - 30 years,PhD,Woman
25-34,Business or Consulting,Management Consultant,105000,16000,105000,16000,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Man
35-44,Law,Counsel,120000,5000,120000,5000,USD,usa,New York,I work remotely,11 - 20 years,8 - 10 years,Master's degree,Woman
35-44,Sales,Client Service Manager,90000,0,90000,0,USD,USA,Pennsylvania,Philadelphia ,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Computing or Tech,Sales,65000,35000,65000,35000,USD,USA,Illinois,"Springfield, IL",11 - 20 years,8 - 10 years,College degree,Woman
35-44,Utilities & Telecommunications,Technical Services Team Lead,60000,4000,60000,4000,USD,USA,Maryland,Baltimore,11 - 20 years,2 - 4 years,College degree,Woman
25-34,Computing or Tech,Proposal Manager,180000,20000,180000,20000,USD,USA,North Carolina,Wilmington,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Computing or Tech,Business Architect,157029,31405,157029,31405,USD,USA,California,San Jose,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,"Accounting, Banking & Finance",Senior Digital Content Manager,82000,10000,82000,10000,USD,USA,Massachusetts,Boston,8 - 10 years,8 - 10 years,College degree,Woman
35-44,Engineering or Manufacturing,HR Manager,83500,500,83500,500,USD,USA,South Carolina,"Columbia, SC",11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Nonprofits,Director of Engagement and Annual Giving,107500,0,107500,0,USD,USA,New York,New York,11 - 20 years,11 - 20 years,College degree,Woman
45-54,Government and Public Administration,Assistant Deputy Director,155000,0,155000,0,USD,USA,California,San Francisco Bay Area,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Utilities & Telecommunications,QA Analyst IT,65000,3000,65000,3000,USD,USA,New York,Remote/ home,5-7 years,5-7 years,College degree,Woman
25-34,Education (Higher Education),Assistant Fabrication Manager,34000,0,34000,0,USD,USA,Virginia,"Harrisonburg, VA",8 - 10 years,5-7 years,College degree,Non-binary
35-44,"Marketing, Advertising & PR",Brand Manager,140000,20000,140000,20000,USD,USA,California,San Francisco,11 - 20 years,21 - 30 years,Some college,Woman
25-34,Computing or Tech,Product Manager,201000,80000,201000,80000,USD,USA,Illinois,Chicago,8 - 10 years,5-7 years,Master's degree,Man
25-34,Computing or Tech,Customer Success Manager,115000,28000,115000,28000,USD,USA,Colorado,Denver,11 - 20 years,5-7 years,College degree,Woman
25-34,Computing or Tech,Software Engineer,80000,3000,80000,3000,USD,USA,Minnesota,Minneapolis,1 year or less,1 year or less,Some college,Non-binary
25-34,Education (Higher Education),Instructional design librarian,58800,0,58800,0,USD,USA,Illinois,Normal,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Government and Public Administration,IT Specialist I,103000,0,103000,0,USD,USA,California,Sacramento,21 - 30 years,11 - 20 years,College degree,Man
35-44,Computing or Tech,"Director, Corporate Communications ",170000,34000,170000,34000,USD,USA,Massachusetts,Boston,21 - 30 years,11 - 20 years,College degree,Woman
25-34,Nonprofits,Managing Editor,80000,0,80000,0,USD,USA,Washington,Seattle,2 - 4 years,11 - 20 years,Master's degree,Woman
25-34,Government and Public Administration,Historian,66805,2000,66805,2000,USD,USA,Florida,Eglin AFB,8 - 10 years,8 - 10 years,PhD,Woman
35-44,Recruitment or HR,Senior Talent Acquisition Consultant,90000,18000,90000,18000,USD,USA,Massachusetts,Work from home ,11 - 20 years,5-7 years,Master's degree,Woman
35-44,Business or Consulting,Assistant director ,117000,11700,117000,11700,USD,USA,North Carolina,Raleigh,11 - 20 years,8 - 10 years,Master's degree,Woman
25-34,Social Work,Staff Therapist,45000,0,45000,0,USD,USA,Illinois,Chicago,5-7 years,1 year or less,Master's degree,Woman
35-44,Education (Higher Education),Systems Librarian,54000,0,54000,0,USD,USA,North Dakota,Grand Forks,1 year or less,1 year or less,Master's degree,Woman
25-34,Research and development,Chemist,58000,1500,58000,1500,USD,USA,Virginia,Pembroke,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Engineering or Manufacturing,Project Manager Specialist,165000,0,165000,0,USD,USA,Washington,Redmond,11 - 20 years,11 - 20 years,Master's degree,Woman
45-54,"Accounting, Banking & Finance",Sr. Database Analyst,102000,0,102000,0,USD,USA,Texas,Dallas,21 - 30 years,21 - 30 years,Master's degree,Woman
35-44,Nonprofits,Senior Development Manager,72100,0,72100,0,USD,USA,New York,New York City,8 - 10 years,8 - 10 years,Master's degree,Woman
35-44,Business or Consulting,Email Marketing Director,78000,0,78000,0,USD,USA,Kansas,Overland Park,11 - 20 years,11 - 20 years,Master's degree,Woman
25-34,Entertainment,Publicity Coordinator,50000,0,50000,0,USD,USA,New York,New York City,5-7 years,5-7 years,College degree,Woman
45-54,Health care,HR Business Partner,145000,15000,145000,15000,USD,USA,California,Oakland,21 - 30 years,21 - 30 years,College degree,Woman
55-64,Engineering or Manufacturing,Controller,100000,4000,100000,4000,USD,USA,Vermont,Rutland,21 - 30 years,21 - 30 years,College degree,Woman
25-34,Business or Consulting,Senior Research Analyst,64800,3000,64800,3000,USD,USA,Pennsylvania,Philadelphia,5-7 years,2 - 4 years,Master's degree,Woman
35-44,Education (Higher Education),Senior Research Analyst,70600,0,70600,0,USD,USA,Iowa,Ames,5-7 years,5-7 years,PhD,Woman
35-44,Retail,Internal communications specialist,75000,10000,75000,10000,USD,USA,North Carolina,Charlotte,11 - 20 years,11 - 20 years,College degree,Woman
35-44,Retail,Operations Manager ,47840,800,47840,800,USD,USA,Maine,Rockland ,11 - 20 years,1 year or less,College degree,Woman
35-44,Nonprofits,Director of Donor Relations,92000,3000,92000,3000,USD,USA,New Jersey,Concord,11 - 20 years,8 - 10 years,Master's degree,Woman
55-64,Government and Public Administration,State Librarian & Associate Vice Chancellor for Libraries,165000,0,165000,0,USD,USA,Georgia,Atlanta,31 - 40 years,31 - 40 years,Master's degree,Woman
55-64,Law,Word Processor,39917,400,39917,400,USD,USA,Indiana,South Bend,31 - 40 years,21 - 30 years,Master's degree,Woman
35-44,Education (Primary/Secondary),9-12 grade teacher,53000,900,53000,900,USD,USA,Arkansas,Siloam Springs,11 - 20 years,11 - 20 years,College degree,Woman
25-34,Government and Public Administration,Budget Analyst,53895,0,53895,0,USD,USA,Tennessee,Nashville,2 - 4 years,2 - 4 years,Master's degree,Woman
35-44,Health care,Sales Operations,76000,5000,76000,5000,USD,usa,New Jersey,princeton ,11 - 20 years,11 - 20 years,Some college,Woman
45-54,B2B Services ,Business Systems Manager ,115000,6000,115000,6000,USD,USA,Minnesota,Twin Cities suburbs ,21 - 30 years,11 - 20 years,Some college,Woman
25-34,Education (Higher Education),"Assistant Director, Data Integrity",72000,0,72000,0,USD,USA,Massachusetts,Cambridge,8 - 10 years,8 - 10 years,Master's degree,Woman
25-34,Computing or Tech,Content Development Manager ,71400,13218,71400,13218,USD,USA,Ohio,Cincinnati,8 - 10 years,2 - 4 years,College degree,Woman
25-34,Sales,Inside Sales - Projects,64000,1500,64000,1500,USD,USA,Ohio,Cincinnati,5-7 years,5-7 years,Master's degree,Woman
35-44,"Accounting, Banking & Finance",Senior Tax/Fixed Asset Specialist,53000,3000,53000,3000,USD,USA,Alabama,Montgomery,21 - 30 years,21 - 30 years,College degree,Woman
55-64,Nonprofits,Senior Editor,72000,2500,72000,2500,USD,USA,Virginia,Leesburg,21 - 30 years,11 - 20 years,College degree,Woman
45-54,Oil and Gas,Senior Software Engineer ,120000,20000,120000,20000,USD,USA,Texas,Houston,21 - 30 years,21 - 30 years,Some college,Man
